Île de France	53.32	46.68
Champagne-Ardenne	45.89	54.11
Picardie	50.95	49.05
Haute-Normandie	52.55	47.45
Centre	49.44	50.56
Basse-Normandie	50.83	49.17
Bourgogne	50.74	49.26
Nord - Pas-de-Calais	54.13	45.87
Lorraine	48.9	51.1
Alsace	36.6	63.4
Franche-Comté	49.01	50.99
Pays de la Loire	51.13	48.87
Bretagne	56.35	43.65
Poitou-Charentes	55.51	44.49
Aquitaine	56.57	43.43
Midi-Pyrénées	57.94	42.06
Limousin	63.78	36.22
Rhône-Alpes	47.99	52.01
Auvergne	56.91	43.09
Languedoc-Roussillon	51.16	48.84
Provence-Alpes-Côte d'Azur	42.4	57.6
Corse	44.13	55.87
Gaudeloupe	71.94	28.06
Martinique	68.43	31.57
Guyane	62.05	37.95
Réunion	71.49	28.51
Sainte Pierre et Miquelon	65.31	34.69
Saint-Barthelemy et Saint-Martin	40.57	59.43
Mayotte	49.06	50.94
Wallis et Futuna	56.06	43.94
Polynesie Francaise	46.74	53.26
Nouvelle-Caledonie	36.97	63.03
Abroad votes	46.95	53.05
